grid_id,week_start,outbreak_binary,grid_lat,grid_lon,outbreak_count,pred_proba,split_name,model_name,display_label,n_grids_in_week,risk_rank,risk_percentile,top1,top5,top10,top20
G004107,2024-04-29,1,35.733168284838165,140.31500711571275,1,0.0,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,5471.0,0.0038244399927153117,False,False,False,False
G005564,2024-10-14,1,42.74981001339923,141.93197462712786,1,0.016734165321813273,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,145.0,0.9737752686213804,False,True,True,True
G003074,2024-10-21,1,37.10654050755949,138.33871349064978,1,0.025174608882532905,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,1494.0,0.7281005281369514,False,False,False,False
G004433,2024-10-21,1,35.87887536332104,140.58450170094858,1,0.0,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,5484.0,0.001456929521034378,False,False,False,False
G001376,2024-10-28,1,35.14767384591075,132.4996641438729,1,0.04015850519025247,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,2544.0,0.5368785285011838,False,False,False,False
G001842,2024-11-04,1,34.187210306310234,133.75730554164022,1,0.15026728876990908,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,3199.0,0.41759242396649066,False,False,False,False
G003462,2024-11-04,1,38.032143327565045,139.5065233600052,1,0.20690285890378118,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,2347.0,0.5727554179566563,False,False,False,False
G005100,2024-11-04,1,38.45545460149992,141.30315392824426,1,0.21160243188929936,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,2233.0,0.5935166636313969,False,False,False,False
G005825,2024-11-11,1,43.73138840989611,142.38113226918765,1,0.005218089493908532,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,4991.0,0.09124021125478055,False,False,False,False
G000508,2024-11-18,1,32.08115028107473,130.34370746198604,1,0.20334671001063798,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,3203.0,0.4168639592059734,False,False,False,False
G002668,2024-11-18,1,35.587194130262716,136.6319144508227,1,0.40902448921565,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,1220.0,0.7780003642323803,False,False,False,False
G003436,2024-11-25,1,36.16948649196524,139.50652336000516,1,0.6491207967593833,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,1092.0,0.801311236568931,False,False,False,True
G001055,2024-12-02,1,32.233251324742064,131.51151733134142,1,0.794161194625213,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,26.0,0.9954470952467674,True,True,True,True
G001621,2024-12-09,1,33.88945058720861,133.1284848427566,1,0.7127602529139105,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,537.0,0.9023857220906939,False,False,True,True
G000704,2024-12-16,1,31.776188273421692,130.7928651040458,1,0.6246975894332857,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,652.0,0.8814423602258241,False,False,False,True
G001621,2024-12-16,1,33.88945058720861,133.1284848427566,1,0.7693659528387059,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,28.0,0.9950828628665088,True,True,True,True
G003644,2024-12-23,1,36.16948649196524,139.86584947365296,1,0.6615217828851395,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,19.0,0.9967219085776725,True,True,True,True
G002735,2024-12-30,1,34.85333357833916,136.90140903605854,1,0.4803698098911666,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,61.0,0.9890730285922419,False,True,True,True
G005119,2024-12-30,1,39.77961194861075,141.30315392824423,1,0.002351338680742713,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,4187.0,0.2376616281187398,False,False,False,False
G005259,2024-12-30,1,40.32968554515822,141.48281698506813,1,0.010870691987732443,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,2945.0,0.46384993625933346,False,False,False,False
G000704,2025-01-06,1,31.776188273421692,130.7928651040458,1,0.4566693015160112,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,636.0,0.8843562192678929,False,False,False,True
G000933,2025-01-06,1,31.470217456459572,131.24202274610556,1,0.40843835465714173,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,969.0,0.8237115279548352,False,False,False,True
G002735,2025-01-06,1,34.85333357833916,136.90140903605854,5,0.5848566562493666,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,173.0,0.9686760152977599,False,True,True,True
